Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
"core.base_field_override.node.dictionary_word.field_source:descriptionReference to a resource from which the entry was collected or sourced. Examples include a specific dictionary or language researcher, or the places where the entry is used (in the case of dialectical variation, for example). </br>Maximum 255 characters.","Reference to a resource from which the entry was collected or sourced. Examples include a specific dictionary or language researcher, or the places where the entry is used (in the case of dialectical variation, for example). </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.dictionary_word.field_translation:labelTranslation,Translation,x,x,x,x
"core.base_field_override.node.dictionary_word.field_translation:descriptionTranslations of the entry into other languages. Consider indicating the language of the translation, eg: Apple (English). </br>Maximum 255 characters. </br>To include additional translations, select ""Add another item.""","Translations of the entry into other languages. Consider indicating the language of the translation, eg: Apple (English). </br>Maximum 255 characters. </br>To include additional translations, select ""Add another item.""",x,x,,x
core.base_field_override.node.dictionary_word.field_word_origin:labelWord Origin,Word Origin,x,x,x,x
core.base_field_override.node.dictionary_word.field_word_origin:descriptionInformation about the history or etymology of the entry. Examples include the origin language of a borrowed word or the date the word came into the language. </br>Maximum 255 characters.,Information about the history or etymology of the entry. Examples include the origin language of a borrowed word or the date the word came into the language. </br>Maximum 255 characters.,x,x,,x
core.base_field_override.node.dictionary_word.menu_link:labelMenu link,Menu link,x,x,,x
core.base_field_override.node.dictionary_word.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,x,,x
core.base_field_override.node.dictionary_word.path:labelURL alias,URL alias,x,x,,x
core.base_field_override.node.dictionary_word.promote:labelPromoted to front page,Promoted to front page,x,x,,x
core.base_field_override.node.dictionary_word.promote:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.dictionary_word.promote:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.dictionary_word.status:labelPublished,Published,x,x,,x
core.base_field_override.node.dictionary_word.status:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.dictionary_word.status:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.dictionary_word.sticky:labelSticky at top of lists,Sticky at top of lists,x,x,,x
core.base_field_override.node.dictionary_word.sticky:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.dictionary_word.sticky:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.dictionary_word.title:labelTerm,Term,x,x,x,x
"core.base_field_override.node.dictionary_word.title:descriptionA word, term, phrase, or other language element. </br>Maximum 255 characters.","A word, term, phrase, or other language element. </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.dictionary_word.uid:labelAuthored by,Authored by,x,x,,x
core.base_field_override.node.dictionary_word.uid:descriptionThe username of the content author.,The username of the content author.,x,x,,x
core.base_field_override.node.digital_heritage.changed:labelChanged,Changed,x,x,,x
core.base_field_override.node.digital_heritage.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,x,x,,x
core.base_field_override.node.digital_heritage.created:labelAuthored on,Authored on,x,x,,x
core.base_field_override.node.digital_heritage.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,x,,x
core.base_field_override.node.digital_heritage.draft:labelDraft,Draft,x,x,,x
