Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
views.view.mukurtu_dictionary:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_dictionary:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_dictionary:display:default:display_options:sorts:search_api_relevance:expose:labelSearch Relevance,Search Relevance,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:sorts:title:expose:labelAlphabetical,Alphabetical,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:sorts:changed:expose:labelNewest,Newest,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:sorts:changed_1:expose:labelOldest,Oldest,x,x,x,
views.view.mukurtu_dictionary:display:default:display_options:filters:search_api_fulltext:expose:labelSearch,Search,x,x,x,
views.view.mukurtu_dictionary:display:mukurtu_dictionary_block:display_titleBlock,Block,,,,
views.view.mukurtu_digital_heritage_browse:labelMukurtu Digital Heritage Browse,Mukurtu Digital Heritage Browse,x,x,x,
views.view.mukurtu_digital_heritage_browse:descriptionThis is the one being used at /digital-heritage 2024,This is the one being used at /digital-heritage 2024,,,,
views.view.mukurtu_digital_heritage_browse:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:titleMukurtu Browse,Mukurtu Browse,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:tags:first« First,« First,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:sorts:search_api_relevance:expose:labelSearch Relevance,Search Relevance,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:sorts:title:expose:labelTitle,Title,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:sorts:changed:expose:labelNewest,Newest,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:sorts:changed_1:expose:labelOldest,Oldest,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:default:display_options:filters:search_api_fulltext:expose:labelSearch,Search,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block:display_titleList View Block,List View Block,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_grid:display_titleGrid View Block,Grid View Block,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_titleMap View Block,Map View Block,x,x,x,
views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:fields:nid:fallback_options:format_plural_string1\003@count,1\003@count,,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:leaflet_tooltip:options{""permanent"":false,""direction"":""center""}","{""permanent"":false,""direction"":""center""}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:leaflet_popup:options{""maxWidth"":""400"",""minWidth"":""300"",""autoPan"":true}","{""maxWidth"":""400"",""minWidth"":""300"",""autoPan"":true}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:fitbounds_options{""padding"":[0,0]}","{""padding"":[0,0]}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:reset_map:options{""position"":""topleft"",""title"":""Reset View""}","{""position"":""topleft"",""title"":""Reset View""}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:map_scale:options{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}","{""position"":""bottomright"",""maxWidth"":100,""metric"":true,""imperial"":false,""updateWhenIdle"":false}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:locate:options{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}","{""position"":""topright"",""setView"":""untilPanOrZoom"",""returnToPrevBounds"":true,""keepCurrentZoomLevel"":true,""strings"":{""title"":""Locate my position""}}",,,,
"views.view.mukurtu_digital_heritage_browse:display:mukurtu_digital_heritage_browse_block_map:display_options:style:options:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",,,,
views.view.mukurtu_digital_heritage_browse_by_map:labelMukurtu Digital Heritage Browse by Map,Mukurtu Digital Heritage Browse by Map,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:titleMukurtu Digital Heritage Browse by Map,Mukurtu Digital Heritage Browse by Map,x,x,x,
"views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:fields:uuid:alter:text<div class=""uuid visually-hidden"">{{ uuid }}</div>","<div class=""uuid visually-hidden"">{{ uuid }}</div>",,,,
"views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:fields:nid:alter:text<div class=""nid visually-hidden"">{{ nid }}</div>","<div class=""nid visually-hidden"">{{ nid }}</div>",,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:fields:nid:fallback_options:format_plural_string1\003@count,1\003@count,,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:default:display_options:arguments:mukurtu_bounding_box:exception:titleAll,All,x,x,x,
views.view.mukurtu_digital_heritage_browse_by_map:display:digital_heritage_map_block:display_titleMap Block,Map Block,x,x,x,
"views.view.mukurtu_digital_heritage_browse_by_map:display:digital_heritage_map_block:display_options:style:options:fullscreen:options{""position"":""topleft"",""pseudoFullscreen"":false}","{""position"":""topleft"",""pseudoFullscreen"":false}",,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:teaser_block:display_titleTeaser Block,Teaser Block,x,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:teaser_block:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:teaser_block:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,,,
views.view.mukurtu_digital_heritage_browse_by_map:display:teaser_block:display_options:pager:options:expose:offset_labelOffset,Offset,x,,,
views.view.mukurtu_draft_content:labelMukurtu Draft Content,Mukurtu Draft Content,x,x,,
views.view.mukurtu_draft_content:descriptionShows all content marked as a draft.,Shows all content marked as a draft.,x,x,,
views.view.mukurtu_draft_content:display:default:display_titleDefault,Default,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:titleYour Drafts,Your Drafts,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_draft_content:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_draft_content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_draft_content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_block:display_titleBlock,Block,x,x,,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_block:display_options:empty:area:content:valueYou currently have no drafts.,You currently have no drafts.,x,x,,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_page:display_titlePage,Page,x,x,x,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_page:display_options:empty:title:titleYou currently have no drafts.,You currently have no drafts.,x,x,x,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_page:display_options:menu:titleYour Drafts,Your Drafts,x,x,x,
views.view.mukurtu_draft_content:display:mukurtu_draft_content_page:display_options:menu:descriptionSee all your draft content on the site.,See all your draft content on the site.,x,x,x,
views.view.mukurtu_import_results_communities:labelMukurtu Import Results: Communities,Mukurtu Import Results: Communities,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_titleDefault,Default,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:titleCommunities,Communities,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:fields:name:labelName,Name,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:fields:revision_created:labelChanged,Changed,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:arguments:revision_log:exception:titleAll,All,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:header:result:contentCommunities imported: @total,Communities imported: @total,x,x,,
views.view.mukurtu_import_results_communities:display:default:display_options:footer:result:contentDisplaying @start - @end of @total,Displaying @start - @end of @total,x,x,,
views.view.mukurtu_import_results_communities:display:results:display_titleBlock,Block,x,x,,
views.view.mukurtu_import_results_content:labelMukurtu Import Results: Content,Mukurtu Import Results: Content,x,x,,
views.view.mukurtu_import_results_content:display:default:display_titleDefault,Default,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:titleContent,Content,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:fields:timestamp:labelNew,New,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:fields:status:labelPublished,Published,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:fields:type:labelContent type,Content type,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:fields:changed:labelChanged,Changed,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_import_results_content:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_import_results_content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_import_results_content:display:default:display_options:arguments:revision_log:exception:titleAll,All,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:header:result:contentContent items imported: @total,Content items imported: @total,x,x,,
views.view.mukurtu_import_results_content:display:default:display_options:footer:result:contentDisplaying @start - @end of @total,Displaying @start - @end of @total,x,x,,
views.view.mukurtu_import_results_content:display:results:display_titleBlock,Block,,,,
views.view.mukurtu_import_results_cultural_protocols:labelMukurtu Import Results: Cultural Protocols,Mukurtu Import Results: Cultural Protocols,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:titleCultural Protocols,Cultural Protocols,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:fields:name:labelName,Name,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:fields:revision_created:labelChanged,Changed,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:arguments:revision_log:exception:titleAll,All,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:header:result:contentCultural Protocols imported: @total,Cultural Protocols imported: @total,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:default:display_options:footer:result:contentDisplaying @start - @end of @total,Displaying @start - @end of @total,x,x,,
views.view.mukurtu_import_results_cultural_protocols:display:results:display_titleBlock,Block,,,,
views.view.mukurtu_import_results_media:labelMukurtu Import Results: Media,Mukurtu Import Results: Media,x,x,,
views.view.mukurtu_import_results_media:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_import_results_media:display:default:display_options:titleMukurtu Import Results: Media,Mukurtu Import Results: Media,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:fields:name:labelName,Name,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:fields:status:labelPublished,Published,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:fields:bundle:labelMedia type,Media type,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:fields:changed:labelChanged,Changed,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:tags:first« First,« First,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_import_results_media:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_import_results_media:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_import_results_media:display:default:display_options:arguments:revision_log_message:exception:titleAll,All,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:header:result:contentMedia imported: @total,Media imported: @total,x,x,,
views.view.mukurtu_import_results_media:display:default:display_options:footer:result:contentDisplaying @start - @end of @total,Displaying @start - @end of @total,x,x,,
views.view.mukurtu_import_results_media:display:results:display_titleBlock,Block,x,x,,
views.view.mukurtu_manage_all_content:labelMukurtu Manage All Content,Mukurtu Manage All Content,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_manage_all_content:display:default:display_options:titleMukurtu Manage All Content,Mukurtu Manage All Content,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:views_bulk_operations_bulk_form:labelOperations,Operations,,,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:type:labelContent type,Content type,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:field_category:labelCategory,Category,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:field_keywords:labelKeywords,Keywords,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:changed:labelChanged,Changed,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:status:labelPublished,Published,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:fields:uid:labelAuthored by,Authored by,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_manage_all_content:display:default:display_options:exposed_form:options:submit_buttonSearch,Search,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_manage_all_content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_manage_all_content:display:default:display_options:filters:status:expose:labelPublished,Published,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:filters:type:expose:labelContent type,Content type,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:filters:title:expose:labelTitle,Title,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:filters:field_category_target_id:expose:labelCategory,Category,x,x,,
views.view.mukurtu_manage_all_content:display:default:display_options:filters:field_keywords_target_id:expose:labelKeywords,Keywords,x,x,,
views.view.mukurtu_manage_all_content:display:mukurtu_manage_content:display_titlePage,Page,x,x,,
views.view.mukurtu_media:labelMukurtu Media,Mukurtu Media,x,x,,
views.view.mukurtu_media:descriptionFind and manage media.,Find and manage media.,x,x,,
views.view.mukurtu_media:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_media:display:default:display_options:titleMedia,Media,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:media_bulk_form:action_titleAction,Action,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:thumbnail__target_id:labelThumbnail,Thumbnail,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:name:labelMedia name,Media name,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:bundle:labelType,Type,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:uid:labelAuthor,Author,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:status:labelStatus,Status,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:status:settings:format_custom_falseUnpublished,Unpublished,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:status:settings:format_custom_truePublished,Published,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:changed:labelUpdated,Updated,x,x,,
views.view.mukurtu_media:display:default:display_options:fields:operations:labelOperations,Operations,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:tags:first« First,« First,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.mukurtu_media:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_media:display:default:display_options:exposed_form:options:submit_buttonFilter,Filter,x,x,,
views.view.mukurtu_media:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.mukurtu_media:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.mukurtu_media:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_media:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_media:display:default:display_options:empty:area_text_custom:contentNo media available.,No media available.,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:name:expose:labelMedia name,Media name,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:bundle:expose:labelType,Type,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:status:expose:labelTrue,TRUE,,,,
views.view.mukurtu_media:display:default:display_options:filters:status:group_info:labelPublished status,Published status,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:status:group_info:group_items:1:titlePublished,Published,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:status:group_info:group_items:2:titleUnpublished,Unpublished,x,x,,
views.view.mukurtu_media:display:default:display_options:filters:langcode:expose:labelLanguage,Language,x,x,,
views.view.mukurtu_media:display:media_page_list:display_titleMedia,Media,x,x,,
views.view.mukurtu_media:display:media_page_list:display_options:menu:titleMedia,Media,x,x,,
views.view.mukurtu_message_log:labelMukurtu Message Log,Mukurtu Message Log,x,,,
views.view.mukurtu_message_log:display:default:display_titleMaster,Master,x,,,
views.view.mukurtu_message_log:display:default:display_options:titleMukurtu Message Log,Mukurtu Message Log,x,,,
views.view.mukurtu_message_log:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,,,
views.view.mukurtu_message_log:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,,,
views.view.mukurtu_message_log:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_message_log:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,,,
views.view.mukurtu_message_log:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,,,
views.view.mukurtu_message_log:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,,,
views.view.mukurtu_message_log:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_message_log:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_message_log:display:default:display_options:empty:area:content:valueNo recent activity.,No recent activity.,x,,,
views.view.mukurtu_message_log:display:mukurtu_message_log_block:display_titleBlock,Block,x,,,
views.view.mukurtu_migrate_results:labelMukurtu Migrate Results,Mukurtu Migrate Results,x,,,
views.view.mukurtu_migrate_results:display:default:display_titleDefault,Default,,,,
views.view.mukurtu_migrate_results:display:default:display_options:titleMukurtu Migrate Results,Mukurtu Migrate Results,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:fields:message:labelMessage,Message,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:tags:first« First,« First,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:tags:lastLast »,Last »,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.mukurtu_migrate_results:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,,,
views.view.mukurtu_migrate_results:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.mukurtu_migrate_results:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.mukurtu_migrate_results:display:failure_block:display_titleNon-successful Migrations,Non-successful Migrations,x,,,
views.view.mukurtu_migrate_results:display:failure_block:display_options:fields:message:labelMessage,Message,x,,,
views.view.mukurtu_migrate_results:display:failure_block:display_options:fields:severity:labelSeverity,Severity,x,,,
